timestamp,store_id,product_id,sales,demand_proxy,stock_on_hand,is_stockout,temperature,price,competitor_price,is_promo,hour,day_of_week,month,date,year,quarter,week,weekday_name,month_name,price_diff,stockout_label,promo_label
2025-01-01 00:00:00,1,101,8,8.0,127,0,-5.954893196687624,45.0,39.38990977463,0,0,2,1,20250101,2025,1,1,Wednesday,January,5.610090225370001,In stock,No promo
2025-01-01 01:00:00,1,101,7,7.0,119,0,-8.221485120637297,40.0,43.72721438581794,0,1,2,1,20250101,2025,1,1,Wednesday,January,-3.7272143858179376,In stock,No promo
2025-01-01 02:00:00,1,101,0,0.0,112,0,-3.5607718422804133,45.0,44.89053163394538,0,2,2,1,20250101,2025,1,1,Wednesday,January,0.10946836605462096,In stock,No promo
2025-01-01 03:00:00,1,101,8,8.0,112,0,-3.7371112204413386,40.0,38.71023670301022,0,3,2,1,20250101,2025,1,1,Wednesday,January,1.2897632969897828,In stock,No promo
2025-01-01 04:00:00,1,101,0,0.0,164,0,0.7486724229213362,40.0,39.771701557317705,0,4,2,1,20250101,2025,1,1,Wednesday,January,0.22829844268229493,In stock,No promo
2025-01-01 05:00:00,1,101,2,2.0,164,0,-1.1654912300622098,38.0,41.87414494720229,0,5,2,1,20250101,2025,1,1,Wednesday,January,-3.8741449472022893,In stock,No promo
2025-01-01 06:00:00,1,101,29,29.0,162,0,-2.9503369794258063,40.0,40.0,0,6,2,1,20250101,2025,1,1,Wednesday,January,0.0,In stock,No promo
2025-01-01 07:00:00,1,101,42,42.0,133,0,-3.8307170285770784,40.0,42.39912130034536,0,7,2,1,20250101,2025,1,1,Wednesday,January,-2.3991213003453566,In stock,No promo
2025-01-01 08:00:00,1,101,49,49.0,91,0,2.65799759198904,45.0,45.0,0,8,2,1,20250101,2025,1,1,Wednesday,January,0.0,In stock,No promo
2025-01-01 09:00:00,1,101,42,42.0,42,0,1.1588374264701324,40.0,40.0,0,9,2,1,20250101,2025,1,1,Wednesday,January,0.0,In stock,No promo
2025-01-01 10:00:00,1,101,0,18.7,0,1,2.4035130873388475,38.0,40.46948996104186,0,10,2,1,20250101,2025,1,1,Wednesday,January,-2.469489961041859,Stock-out,No promo
2025-01-01 11:00:00,1,101,0,17.0,0,1,1.466529158917972,38.0,37.82692081843656,0,11,2,1,20250101,2025,1,1,Wednesday,January,0.1730791815634376,Stock-out,No promo
2025-01-01 12:00:00,1,101,0,15.583333333333334,0,1,-1.8752794238206203,40.0,39.34009764719373,0,12,2,1,20250101,2025,1,1,Wednesday,January,0.6599023528062702,Stock-out,No promo
2025-01-01 13:00:00,1,101,0,14.384615384615385,0,1,5.258708140255544,40.0,38.10917262193663,0,13,2,1,20250101,2025,1,1,Wednesday,January,1.8908273780633706,Stock-out,No promo
2025-01-01 14:00:00,1,101,0,13.357142857142858,0,1,3.795954544640339,40.0,38.77739768167041,0,14,2,1,20250101,2025,1,1,Wednesday,January,1.2226023183295922,Stock-out,No promo
2025-01-01 15:00:00,1,101,0,12.466666666666667,0,1,2.507526355893076,40.0,37.42542306833939,0,15,2,1,20250101,2025,1,1,Wednesday,January,2.5745769316606086,Stock-out,No promo
2025-01-01 16:00:00,1,101,0,11.6875,0,1,2.7844760521693117,45.0,42.59589312458637,0,16,2,1,20250101,2025,1,1,Wednesday,January,2.404106875413632,Stock-out,No promo
2025-01-01 17:00:00,1,101,0,11.0,0,1,-2.954837740560431,45.0,42.199845031313664,0,17,2,1,20250101,2025,1,1,Wednesday,January,2.8001549686863356,Stock-out,No promo
2025-01-01 18:00:00,1,101,0,10.38888888888889,0,1,4.046600783225697,40.0,40.0,0,18,2,1,20250101,2025,1,1,Wednesday,January,0.0,Stock-out,No promo
2025-01-01 19:00:00,1,101,0,9.842105263157896,0,1,-2.70749539269427,40.0,39.311642211975496,0,19,2,1,20250101,2025,1,1,Wednesday,January,0.6883577880245042,Stock-out,No promo
2025-01-01 20:00:00,1,101,0,9.35,0,1,-1.9761771391288967,40.0,38.07761555270755,0,20,2,1,20250101,2025,1,1,Wednesday,January,1.9223844472924512,Stock-out,No promo
